#{"t_start": 1760907604.3554823, "env_id": "Humanoid-v5"}
r,l,t
485.168157,91,68.128857
732.065654,137,68.20614
431.344895,84,68.242062
511.389065,110,68.805863
802.395461,157,68.878519
433.924924,93,68.934629
420.119217,78,68.968482
686.307178,135,69.02926
575.420047,115,69.079473
433.930927,94,69.119855
355.75923,67,69.147596
478.405563,87,69.185853
317.372041,62,69.213164
520.306536,102,69.259184
566.623352,110,69.306036
436.749031,83,69.342491
632.994197,134,69.404473
624.188577,119,69.458607
620.047124,121,69.513104
405.297558,76,69.54738
391.441705,74,69.580776
366.423276,74,69.611809
398.125551,91,69.652025
426.166474,84,71.049794
421.464834,92,71.092256
493.328844,92,71.132866
778.346174,148,71.196945
513.36066,96,71.238059
319.21285,66,71.264671
652.119142,129,71.322924
348.533067,66,71.351591
336.582696,71,71.382792
626.046115,122,71.435824
531.510715,100,71.480105
435.325716,86,71.51854
331.971797,72,71.5514
404.851382,80,71.585972
439.323306,85,71.623876
445.95784,85,71.660329
555.558355,123,71.716532
608.818245,122,71.770044
404.67401,77,71.825891
460.359264,100,71.870499
516.168518,95,71.912051
231.010657,53,71.935339
485.785351,92,72.494525
477.333901,94,72.535334
560.809514,112,72.590775
393.166765,73,72.625236
351.703386,75,72.65785
604.965662,115,72.708474
468.164976,93,72.749081
424.594037,90,72.786908
378.006232,71,72.816922
444.68291,82,72.851794
716.588245,134,72.908055
483.364168,93,72.949193
514.540486,99,72.992337
459.022521,84,73.027216
492.017475,103,73.071979
499.117898,105,73.117362
966.954984,184,73.199133
395.617057,74,73.230732
328.845872,66,73.258792
363.241635,77,73.293034
430.738699,82,73.327536
341.941149,64,73.354654
350.604386,71,73.386118
488.627644,103,74.122304
531.846699,99,74.168662
630.721472,118,74.221736
338.682966,75,74.256439
657.946074,121,74.31187
